category_slug,name,price,image_name,description
accessoires,"Cravate Slim en Soie Bleue",3500,tie.jpg,"Cravate élégante de couleur bleue, idéale pour les cérémonies, les rendez-vous professionnels et les grandes occasions à Lomé."
accessoires,"Ceinture en Cuir Noir Classique",5000,ceinture.jpg,"Ceinture robuste et indémodable avec une boucle métallique argentée, parfaite pour ajuster les pantalons de costume ou les tenues de bureau."
accessoires,"Ceinture En Cuir Marron Tressé",6000,ceinture.jpg,"Accessoire au design travaillé apportant une touche casual-chic unique à vos tenues quotidiennes ou de sortie."
accessoires,"Cravate Élégante à Motifs",3500,cravatte.jpg,"Cravate classique aux finitions soignées pour parfaire une tenue formelle ou de fête."
accessoires,"Montre Chronographe Bracelet Métallique",15000,montre.jpg,"Montre-bracelet moderne et masculine avec un cadran noir et des détails argentés, idéale pour l'homme d'affaires dynamique."
accessoires,"Montre Élégante Bracelet Cuir Marron",12000,montreencuire.jpeg,"Un garde-temps intemporel alliant un cadran doré épuré et un bracelet en cuir véritable, parfait pour un style raffiné au quotidien."
accessoires,"Sac à Main Rigide pour Femme (Noir)",18000,sac.jpg,"Sac chic au design structuré avec des finitions dorées, doté d'un grand espace de rangement pour le travail ou les sorties en ville."
accessoires,"Sac Cabas Tendance en Similicuir (Beige)",14000,sac0.jpg,"Un grand sac pratique et polyvalent avec des anses solides, parfait pour transporter toutes vos affaires quotidiennes avec style."
accessoires,"Pochette de Soirée Matelassée",10000,sacfemme.jpg,"Mini-sac élégant avec une bandoulière en chaîne dorée, l'accessoire indispensable pour briller lors des mariages et des soirées."
accessoires,"Sac à Dos Moderne Urbain",16000,sacmoderne.jpg,"Confortable et stylé, ce sac convient parfaitement aux étudiants et professionnels pour transporter un ordinateur et des documents."
chaussures,"Nike Air Force 1 All White",45000,air1.jpg,"Baskets urbaines incontournables, entièrement blanches, offering un confort optimal et un style streetwear intemporel très recherché à Lomé."
chaussures,"Chaussures Derby en Cuir Marron",25000,derby.jpeg,"Chaussures basses habillées pour homme en cuir lisse avec lacets fins, idales pour les réunions d'affaires ou les cérémonies élégantes."
chaussures,"Sandales Plates d'Été pour Femme",12000,femme.jpg,"Sandales légères et décontractées avec de fines lanières croisées, parfaites pour un look frais, confortable et élégant au quotidien."
chaussures,"Air Jordan 1 Retro High",65000,jordane1.jpg,"Sneakers montantes de collection aux couleurs dynamiques, indispensables pour les amateurs de mode urbaine et de culture basketball."
chaussures,"Nike Running Pro Performance",40000,nike.jpg,"Chaussures de course légères dotées d'une semelle amortissante haute technologie, idéales pour le sport et le confort au quotidien."
chaussures,"Chaussures Richelieu Classiques Noires",30000,richelieu.jpeg,"Le summum de l'élégance masculine en cuir noir véritable avec perforations fines, parfaites pour accompagner un costume formel."
chaussures,"Escarpins à Talons Aiguilles Vernis",20000,talon.jpg,"Chaussures à talons hauts élégantes avec une finition vernie brillante, l'atout séduction idéal pour les grandes soirées et événements."
chaussures,"Sandales à Talons Carrés Confort",18000,talonfemme.jpg,"Chaussures ouvertes pour femme avec un talon carré stable et une bride cheville, alliant parfaitement élégance et confort de marche."
climatiseurs,"Climatiseur Mobile Compact 9000 BTU",185000,cmobile.png,"Climatiseur portable sur roulettes, facile à déplacer, idéal pour rafraîchir rapidement une chambre ou un bureau sans installation lourde."
climatiseurs,"Climatiseur Mobile Silencieux 12000 BTU",240000,cmobile1.png,"Appareil de climatisation mobile performant offrant une puissance de refroidissement supérieure avec option déshumidificateur intégrée."
